user,department,office,hire_date,termination_date
mrivera,Sales,San Francisco,2020-03-03,
akapoor,Finance,San Francisco,2022-03-09,
dthompson,Engineering,San Francisco,2021-10-24,2026-09-11
lnguyen,Marketing,San Francisco,2020-06-21,
pgarcia,Engineering,New York,2026-09-11,
amartin,Marketing,London,2019-10-23,
rlee,Engineering,San Francisco,2026-02-19,
smoore,Finance,San Francisco,2024-04-08,
abrown,People,Remote,2019-03-02,
sgarcia,Engineering,San Francisco,2022-07-10,
kbell,Engineering,London,2025-07-08,
swilson,People,London,2025-08-14,
jbrown,People,New York,2019-12-13,
jlopez,Security,San Francisco,2023-10-23,
dhenderson,Engineering,San Francisco,2020-09-26,
ehenderson,Marketing,San Francisco,2018-07-14,
mlopez,Engineering,New York,2022-09-12,
nwhite,Finance,New York,2021-11-06,
charris,People,New York,2022-06-11,
jross,Finance,Remote,2020-01-08,
ngonzales,Sales,London,2020-11-22,
shenderson,People,Austin,2023-10-25,
dallen,Finance,Remote,2022-10-18,
rbennett,Security,San Francisco,2019-09-19,
dbarnes,Engineering,San Francisco,2019-08-13,
cking,Marketing,Austin,2025-08-27,
jsanders,Marketing,San Francisco,2022-12-21,
ghoward,People,San Francisco,2025-06-08,
lstewart,Finance,New York,2018-09-12,
khall,Security,New York,2020-01-05,
kdavis,People,Remote,2019-11-22,
bkelly,Marketing,Austin,2022-12-31,
mhayes,Marketing,New York,2024-06-03,
kperry,Engineering,New York,2023-07-03,
jwatson,Marketing,San Francisco,2018-07-06,
nevans,Sales,San Francisco,2025-10-18,
sbell,Engineering,San Francisco,2018-09-16,
cmiller,People,Austin,2019-06-01,
ephillips,Finance,San Francisco,2020-09-21,
jedwards,People,New York,2022-08-11,
ahenderson,Marketing,San Francisco,2021-07-25,
dwilson,Finance,London,2021-03-10,
jalexander,Security,San Francisco,2022-03-31,
dbrown,Security,San Francisco,2018-09-28,
mturner,Security,Remote,2025-01-26,
egonzales,Marketing,New York,2018-12-11,
kgriffin,Marketing,London,2020-10-30,
cedwards,Engineering,Austin,2026-03-30,
acollins,Sales,London,2022-09-26,
janderson,Marketing,San Francisco,2024-08-06,
lwright,Finance,New York,2020-09-04,
tgreen,Marketing,New York,2021-08-08,
ngray,Engineering,Remote,2021-01-03,
nrichardson,Marketing,New York,2021-05-10,
gcarter,Sales,Austin,2025-09-15,
kbennett,Finance,San Francisco,2021-03-21,
abell,Finance,New York,2021-09-20,
jmorris,Sales,San Francisco,2024-10-01,
mmartin,Sales,San Francisco,2023-06-26,
thill,Engineering,London,2023-04-30,
scoleman,Sales,New York,2021-11-28,
emitchell,Engineering,Remote,2023-05-26,
cbell,People,Austin,2023-01-05,
lpowell,People,Austin,2022-12-18,
gjackson,Security,Austin,2022-02-19,
rlong,Security,Austin,2018-10-22,
alee,Marketing,San Francisco,2022-01-07,
jwood,Marketing,New York,2023-09-04,
ncook,Marketing,San Francisco,2026-02-28,
storres,Security,New York,2019-11-14,
sbrown,Sales,San Francisco,2023-04-14,
dking,Marketing,Remote,2018-11-07,
danderson,Finance,San Francisco,2026-07-11,
schen,People,Austin,2026-06-21,
ksanders,Engineering,San Francisco,2022-07-18,
jpowell,Engineering,Remote,2025-10-31,
eking,People,Austin,2022-04-02,
gmartin,Security,San Francisco,2019-09-17,
aedwards,People,London,2022-08-30,
jward,Engineering,Remote,2021-08-26,
jpeterson,Marketing,Remote,2018-10-11,
cdavis,Sales,New York,2024-04-20,
sevans,Security,San Francisco,2022-01-04,
etorres,Security,San Francisco,2020-06-26,
dbrooks,Engineering,Remote,2024-08-04,
mkelly,Finance,New York,2026-03-09,
cbryant,People,San Francisco,2023-07-09,
pkelly,Finance,Remote,2018-09-14,
jwilson,Security,Austin,2021-11-04,
ebrooks,Finance,New York,2026-02-03,
ncollins,Sales,New York,2018-08-04,
sprice,People,New York,2024-11-07,
thughes,Sales,San Francisco,2020-10-14,
jallen,Sales,San Francisco,2018-09-14,
shill,Sales,Remote,2021-12-21,
bgray,Finance,New York,2020-05-24,
dnguyen,Engineering,New York,2022-09-15,
dward,Finance,San Francisco,2022-12-15,
abryant,People,London,2026-02-20,
rrichardson,Security,San Francisco,2020-09-23,
rstewart,Engineering,New York,2020-01-19,
ptaylor,Sales,San Francisco,2019-03-18,
jyoung,Finance,San Francisco,2023-03-17,
mtorres,People,Remote,2025-09-14,
jchen,Marketing,Austin,2020-09-01,
redwards,Security,New York,2025-12-11,
wbutler,Engineering,New York,2023-01-23,
rgriffin,Sales,Remote,2021-01-14,
swalker,Marketing,San Francisco,2026-02-11,
dparker,Engineering,Austin,2024-04-24,
hreed,Marketing,Austin,2019-07-25,
sdavis,Security,San Francisco,2019-03-29,
dlewis,Sales,New York,2022-04-09,
pmartin,People,London,2020-03-03,
awashington,Sales,Remote,2018-06-18,
jjenkins,Marketing,San Francisco,2023-03-26,
tedwards,Sales,Remote,2024-02-01,
gbennett,Sales,San Francisco,2021-11-26,
jsmith,Security,London,2020-07-17,
rtaylor,People,London,2021-05-08,
sbailey,Sales,San Francisco,2019-09-13,
snguyen,Finance,New York,2019-09-12,
sperez,People,London,2018-09-11,
abaker,People,San Francisco,2019-07-18,
cjackson,Engineering,Austin,2022-08-22,
dcox,Security,London,2018-11-04,
abrooks,Marketing,New York,2025-11-16,
bjackson,People,London,2024-09-16,
kkelly,People,San Francisco,2025-01-07,
jcooper,Sales,San Francisco,2019-03-10,
kchen,Sales,New York,2025-09-21,
mharris,Marketing,San Francisco,2023-05-18,
cdiaz,Engineering,San Francisco,2024-01-24,
nbrown,Finance,Remote,2019-07-17,
jbrooks,People,Austin,2018-07-26,
ntorres,Engineering,San Francisco,2025-06-20,
kallen,Finance,San Francisco,2025-11-10,
jmoore,People,Remote,2024-10-21,
awood,Engineering,New York,2024-12-10,
dcooper,Finance,Remote,2025-04-20,
jramirez,People,New York,2018-11-09,
ryoung,Security,New York,2019-04-12,
drichardson,People,Remote,2020-05-05,
bgreen,Security,London,2021-11-24,
bbaker,People,Austin,2019-10-29,
brichardson,Sales,New York,2018-11-24,
cthomas,Marketing,Remote,2023-07-18,
sphillips,Engineering,New York,2020-10-11,
cscott,Marketing,Remote,2025-10-20,
ewright,Security,San Francisco,2024-07-27,
